,,,,,GM,To Say,Standard
1,First Singular,I,Positive,Present,Deirim,I say,Deirim
2,First Singular,I,Negative,Present,Ní deirim,I don't say,Ní deirim
3,First Singular,I,Interrogative,Present,An ndeirim,Do I say,An ndeirim
4,First Singular,I,Neg Interrogative,Present,Ná deirim,Don't I say,Nach ndeirim
5,First Singular,I,Positive,Past,Dúras,I said,Dúirt mé
6,First Singular,I,Negative,Past,Ní dúras,I didn't say,Ní dúirt mé
7,First Singular,I,Interrogative,Past,An ndúras,Did I say,An ndúirt mé
8,First Singular,I,Neg Interrogative,Past,Ná dúras,Didn't I say,Nach ndúirt mé
9,First Singular,I,Positive,Future,Déarfad,I will say,Déarfaidh mé
10,First Singular,I,Negative,Future,Ní déarfad,I won't say,Ní déarfaidh mé
11,First Singular,I,Interrogative,Future,An ndéarfad,Will I say,An ndéarfaidh mé
12,First Singular,I,Neg Interrogative,Future,Ná déarfad,Won't I say,Nach ndéarfaidh mé
13,Second Singular,You,Positive,Present,Deirir,You say,Deir tú
14,Second Singular,You,Negative,Present,Ní deirir,You don't say,Ní deir tú
15,Second Singular,You,Interrogative,Present,An ndeirir,Do you say,An ndeir tú
16,Second Singular,You,Neg Interrogative,Present,Ná deirir,Don't you say,Nach ndeir tú
17,Second Singular,You,Positive,Past,Dúrais,You said,Dúirt tú
18,Second Singular,You,Negative,Past,Ní dúrais,You didn't say,Ní dúirt tú
19,Second Singular,You,Interrogative,Past,An ndúrais,Did you say,An ndúirt tú
20,Second Singular,You,Neg Interrogative,Past,Ná dúrais,Didn't you say,Nach ndúirt tú
21,Second Singular,You,Positive,Future,Déarfair,You will say,Déarfaidh tú
22,Second Singular,You,Negative,Future,Ní déarfair,You won't say,Ní déarfaidh tú
23,Second Singular,You,Interrogative,Future,An ndéarfair,Will you say,An ndéarfaidh tú
24,Second Singular,You,Neg Interrogative,Future,Ná déarfair,Won't you say,Nach ndéarfaidh tú
25,Third Singular,He/She/It,Positive,Present,Deireann sé,He says,Deir sé
26,Third Singular,He/She/It,Negative,Present,Ní dheireann sé,He doesn't say,Ní deir sé
27,Third Singular,He/She/It,Interrogative,Present,An ndeireann sé,Does he say,An ndeir sé
28,Third Singular,He/She/It,Neg Interrogative,Present,Ná deireann sé,Doesn't he say,Nach ndeir sé
29,Third Singular,He/She/It,Positive,Past,Dúirt sé,He said,Dúirt sé
30,Third Singular,He/She/It,Negative,Past,Ní dúirt sé,He didn't say,Ní dúirt sé
31,Third Singular,He/She/It,Interrogative,Past,An ndúirt sé,Did he say,An ndúirt sé
32,Third Singular,He/She/It,Neg Interrogative,Past,Ná dúirt sé,Didn't he say,Nach ndúirt sé
33,Third Singular,He/She/It,Positive,Future,Déarfaidh sé,He will say,Déarfaidh sé
34,Third Singular,He/She/It,Negative,Future,Ní dhéarfaidh sé,He won't say,Ní déarfaidh sé
35,Third Singular,He/She/It,Interrogative,Future,An ndéarfaidh sé,Will he say,An ndéarfaidh sé
36,Third Singular,He/She/It,Neg Interrogative,Future,Ná déarfaidh sé,Won't he say,Nach ndéarfaidh sé
37,First Plural,We,Positive,Present,Deirimíd,We say,Deirimid
38,First Plural,We,Negative,Present,Ní dheirimíd,We don't say,Ní deirimid
39,First Plural,We,Interrogative,Present,An ndeirimíd,Do we say,An ndeirimid
