,,,,,GM,GU,GC,To Hear,Standard
1,First Singular,I,Positive,Present,Cloisim,,,I hear,Cloisim
2,First Singular,I,Negative,Present,Ní chloisim,,,I don't hear,Ní chloisim
3,First Singular,I,Interrogative,Present,An gcloisim,,,Do I hear,An gcloisim
4,First Singular,I,Neg Interrogative,Present,Ná cloisim,,,Don't I hear,Nach gcloisim
5,First Singular,I,Positive,Past,Do chualas,,,I heard,Chuala mé
6,First Singular,I,Negative,Past,Ní chualas,,,I didn't hear,Ní chuala mé
7,First Singular,I,Interrogative,Past,An gcualas,,,Did I hear,An gcuala mé
8,First Singular,I,Neg Interrogative,Past,Ná cualas,,,Didn't I hear,Nach gcuala mé
9,First Singular,I,Positive,Future,Cloisfead,,,I will hear,Cloisfidh mé
10,First Singular,I,Negative,Future,Ní chloisfead,,,I won't hear,Ní chloisfidh mé
11,First Singular,I,Interrogative,Future,An gcloisfead,,,Will I hear,An gcloisfidh mé
12,First Singular,I,Neg Interrogative,Future,Ná cloisfead,,,Won't I hear,Nach gcloisfidh mé
13,Second Singular,You,Positive,Present,Cloisir,,,You hear,Cloiseann tú
14,Second Singular,You,Negative,Present,Ní chloisir,,,You don't hear,Ní chloiseann tú
15,Second Singular,You,Interrogative,Present,An gcloisir,,,Do you hear,An gcloiseann tú
16,Second Singular,You,Neg Interrogative,Present,Ná cloisir,,,Don't you hear,Nach gcloiseann tú
17,Second Singular,You,Positive,Past,Do chualais,,,You heard,Chuala tú
18,Second Singular,You,Negative,Past,Ní chualais,,,You didn't hear,Ní chuala tú
19,Second Singular,You,Interrogative,Past,An gcualais,,,Did you hear,An gcuala tú
20,Second Singular,You,Neg Interrogative,Past,Ná cualais,,,Didn't you hear,Nach gcuala tú
21,Second Singular,You,Positive,Future,Cloisfir,,,You will hear,Cloisfidh tú
22,Second Singular,You,Negative,Future,Ní chloisfir,,,You won't hear,Ní chloisfidh tú
