,,,,,GM,GU,GC,To Do,Standard
1,First Singular,I,Positive,Present,Déanaim,,,I do,Déanaim
2,First Singular,I,Negative,Present,Ní dhéanaim,,,I don't do,Ní dhéanaim
3,First Singular,I,Interrogative,Present,An ndéanaim,,,Do I do,An ndéanaim
4,First Singular,I,Neg Interrogative,Present,Ná déanaim,,,Don't I do,Nach ndéanaim
5,First Singular,I,Positive,Past,Do dheineas,,,I did,Rinne mé
6,First Singular,I,Negative,Past,Ní dhearnas,,,I didn't do,Ní dhearna mé
7,First Singular,I,Interrogative,Past,An ndearnas,,,Did I do,An ndearna mé
8,First Singular,I,Neg Interrogative,Past,Ná dearnas,,,Didn't I do,Nach ndearna mé
9,First Singular,I,Positive,Future,Déanfad,,,I will do,Déanfaidh mé
10,First Singular,I,Negative,Future,Ní dhéanfad,,,I won't do,Ní dhéanfaidh mé
11,First Singular,I,Interrogative,Future,An ndéanfad,,,Will I do,An ndéanfaidh mé
12,First Singular,I,Neg Interrogative,Future,Ná déanfad,,,Won't I do,Nach ndéanfaidh mé
13,Second Singular,You,Positive,Present,Déanair,,,You do,Déanann tú
14,Second Singular,You,Negative,Present,Ní dhéanair,,,You don't do,Ní dhéanann tú
15,Second Singular,You,Interrogative,Present,An ndéanair,,,Do you do,An ndéanann tú
16,Second Singular,You,Neg Interrogative,Present,Ná déanair,,,Don't you do,Nach ndéanann tú
17,Second Singular,You,Positive,Past,Do dheineais,,,You did,Rinne tú
18,Second Singular,You,Negative,Past,Ní dhearnais,,,You didn't do,Ní dhearna tú
19,Second Singular,You,Interrogative,Past,An ndearnais,,,Did you do,An ndearna tú
20,Second Singular,You,Neg Interrogative,Past,Ná dearnais,,,Didn't you do,Nach ndearna tú
21,Second Singular,You,Positive,Future,Déanfair,,,You will do,Déanfaidh tú
22,Second Singular,You,Negative,Future,Ní dhéanfair,,,You won't do,Ní dhéanfaidh tú
23,Second Singular,You,Interrogative,Future,An ndéanfair,,,Will you do,An ndéanfaidh tú
24,Second Singular,You,Neg Interrogative,Future,Ná déanfair,,,Won't you do,Nach ndéanfaidh tú
