,,,,,GM,To Eat,Standard
1,First Singular,I,Positive,Present,Ithim,I eat,Ithim
2,First Singular,I,Negative,Present,Ní ithim,I don't eat,Ní ithim
3,First Singular,I,Interrogative,Present,An n-ithim,Do I eat,An n-ithim
4,First Singular,I,Neg Interrogative,Present,Ná ithim,Don't I eat,Nach n-ithim
5,First Singular,I,Positive,Past,D'itheas,I ate,D'ith mé
6,First Singular,I,Negative,Past,Ní itheas,I didn't eat,Ní ith mé
7,First Singular,I,Interrogative,Past,An n-itheas,Did I eat,An n-ith mé
8,First Singular,I,Neg Interrogative,Past,Ná itheas,Didn't I eat,Nach n-ith mé
9,First Singular,I,Positive,Future,Íosfad,I will eat,Íosfaidh mé
10,First Singular,I,Negative,Future,Ní íosfad,I won't eat,Ní íosfaidh mé
11,First Singular,I,Interrogative,Future,An n-íosfad,Will I eat,An n-íosfaidh mé
12,First Singular,I,Neg Interrogative,Future,Ná íosfad,Won't I eat,Nach n-íosfaidh mé
13,Second Singular,You,Positive,Present,Ithir,You eat,Itheann tú
14,Second Singular,You,Negative,Present,Ní ithir,You don't eat,Ní itheann tú
15,Second Singular,You,Interrogative,Present,An n-ithir,Do you eat,An n-itheann tú
16,Second Singular,You,Neg Interrogative,Present,Ná ithir,Don't you eat,Nach n-itheann tú
17,Second Singular,You,Positive,Past,D'itheais,You ate,D'ith tú
18,Second Singular,You,Negative,Past,Ní itheais,You didn't eat,Ní ith tú
19,Second Singular,You,Interrogative,Past,An n-itheais,Did you eat,An n-ith tú
20,Second Singular,You,Neg Interrogative,Past,Ná itheais,Didn't you eat,Nach n-ith tú
21,Second Singular,You,Positive,Future,Íosfair,You will eat,Íosfaidh tú
22,Second Singular,You,Negative,Future,Ní íosfair,You won't eat,Ní íosfaidh tú
23,Second Singular,You,Interrogative,Future,An n-íosfair,Will you eat,An n-íosfaidh tú
24,Second Singular,You,Neg Interrogative,Future,Ná íosfair,Won't you eat,Nach n-íosfaidh tú
25,Third Singular,He/She/It,Positive,Present,Itheann sé,He eats,Itheann sé
26,Third Singular,He/She/It,Negative,Present,Ní itheann sé,He doesn't eat,Ní itheann sé
27,Third Singular,He/She/It,Interrogative,Present,An n-itheann sé,Does he eat,An n-itheann sé
28,Third Singular,He/She/It,Neg Interrogative,Present,Ná itheann sé,Doesn't he eat,Nach n-itheann sé
29,Third Singular,He/She/It,Positive,Past,D'ith sé,He ate,D'ith sé
30,Third Singular,He/She/It,Negative,Past,Ní ith sé,He didn't eat,Ní ith sé
31,Third Singular,He/She/It,Interrogative,Past,An n-ith sé,Did he eat,An n-ith sé
32,Third Singular,He/She/It,Neg Interrogative,Past,Ná ith sé,Didn't he eat,Nach n-ith sé
